No,Day,week1_ec,week1_tu,week1_ecpu,week2_ec,week2_tu,week2_ecpu,week3_ec,week3_tu,week3_ecpu,week4_ec,week4_tu,week4_ecpu,week5_ec,week5_tu,week5_ecpu,week6_ec,week6_tu,week6_ecpu
1,Mon,2,1,2,4,1,4,12,3,4,19,4,4.75,42,6,7,18,1,18
2,Tue,0,0,0,0,0,0,11,2,5.5,131,27,4.851851852,72,9,8,45,3,15
3,Wed,0,0,0,0,0,0,35,6,5.833333333,142,31,4.580645161,48,4,12,7,2,3.5
4,Thurs,7,2,3.5,9,2,4.5,26,8,3.25,346,78,4.435897436,53,11,4.818181818,44,4,11
5,Fri,1,1,1,3,1,3,119,26,4.576923077,637,123,5.178861789,46,6,7.666666667,92,14,6.571428571
